mm_Lead__c,mm_Contact__c,mm_Stage__c,mm_Start_Date__c,Lead_Contact_Source__c,CreatedDate
"00QV500000E88zdMAB"," ","MQL","2025-01-01","Google Ad","2025-01-02T05:46:17.000+0000"
"00QV500000E88zdMAB"," ","MQL","2025-01-01","Google Ad","2025-01-02T05:46:18.000+0000"
"00QV500000ECYaXMAX"," ","MQL","2025-01-03","Webinar","2025-01-03T23:16:03.000+0000"
"00QV500000EGQI6MAP"," ","MQL","2025-01-06","Google Natural Search","2025-01-06T14:54:34.000+0000"
"00QV500000DoTZgMAN"," ","MQL","2025-01-09","Webinar","2025-01-09T13:11:24.000+0000"
"00QV500000EREy5MAH"," ","MQL","2025-01-10","Website","2025-01-10T16:24:02.000+0000"
" ","003V50000067VW1IAM","MQL","2025-01-13","Marketing Research","2025-01-13T15:56:44.000+0000"
"00QV500000Ep2KfMAJ"," ","MQL","2025-01-21","Website","2025-01-21T12:24:47.000+0000"
"00QV500000EykSwMAJ"," ","MQL","2025-01-24","Website","2025-01-24T18:41:11.000+0000"
"00QV500000F3HABMA3"," ","MQL","2025-01-27","Website","2025-01-27T16:44:32.000+0000"
"00QV500000F76b9MAB"," ","MQL","2025-01-28","Google Natural Search","2025-01-28T19:20:59.000+0000"
"00QV500000F9HiXMAV"," ","MQL","2025-01-29","Website","2025-01-29T13:49:39.000+0000"
"00QV500000FFgPiMAL"," ","MQL","2025-01-31","Google Natural Search","2025-01-31T16:37:31.000+0000"
"00QV500000FPAZpMAP"," ","MQL","2025-02-04","Website","2025-02-04T15:26:38.000+0000"
" ","003V50000067uH1IAI","MQL","2024-06-06","Website","2025-02-05T07:48:03.000+0000"
" ","003V50000067eQHIAY","MQL","2025-06-13","Partner","2025-02-05T08:07:52.000+0000"
"00QV5000006N7tiMAC"," ","MQL","2024-06-25","Google Natural Search","2025-02-05T08:18:27.000+0000"
"00QV500000BWD75MAH"," ","MQL","2024-02-28","WebHelp Registration","2025-02-05T08:59:07.000+0000"
" ","003V500000684VZIAY","MQL","2024-03-07","Zoominfo","2025-02-05T08:46:56.000+0000"
"00QV500000FdUqTMAV"," ","MQL","2025-02-10","Google Natural Search","2025-02-10T18:27:07.000+0000"
"00QV500000Fu9G5MAJ"," ","MQL","2025-02-17","Website","2025-02-17T17:11:30.000+0000"
"00QV500000FdUqTMAV"," ","MQL","2025-02-18","Google Natural Search","2025-02-18T15:52:56.000+0000"
"00QV500000Fx2A1MAJ"," ","MQL","2025-02-18","Google Natural Search","2025-02-18T22:41:18.000+0000"
" ","003V500000671jPIAQ","MQL","2025-02-19","Website","2025-02-19T18:08:55.000+0000"
"00QV5000006N5SiMAK"," ","MQL","2025-02-19","Bing Natural Search","2025-02-19T21:24:10.000+0000"
"00QV500000GBZUHMA5"," ","MQL","2025-02-24","6sense SI","2025-02-24T20:51:35.000+0000"
"00QV500000GJtZ3MAL"," ","MQL","2025-02-27","Website","2025-02-27T17:13:36.000+0000"
"00QV500000GKGLxMAP"," ","MQL","2025-02-27","Events","2025-02-27T19:14:24.000+0000"
"00QV500000GNJwvMAH"," ","MQL","2025-02-28"," ","2025-02-28T21:09:12.000+0000"
"00QV500000GQa6oMAD"," ","MQL","2025-03-03","Google Ad","2025-03-03T08:17:46.000+0000"
" ","003V50000067ymcIAA","MQL","2025-03-03","Linkedin Sales Navigator","2025-03-03T16:54:08.000+0000"
"00QV500000GW9qAMAT"," ","MQL","2025-03-04","Webinar","2025-03-04T21:06:47.000+0000"
"00QV500000GWD8AMAX"," ","MQL","2025-03-04","Webinar","2025-03-04T21:22:45.000+0000"
"00QV500000GWD8SMAX"," ","MQL","2025-03-04","Webinar","2025-03-04T21:22:45.000+0000"
"00QV500000GWD8iMAH"," ","MQL","2025-03-04","Webinar","2025-03-04T21:22:45.000+0000"
"00QV500000GWD8kMAH"," ","MQL","2025-03-04","Webinar","2025-03-04T21:22:45.000+0000"
"00QV500000GWD8MMAX"," ","MQL","2025-03-04","Webinar","2025-03-04T21:22:45.000+0000"
"00QV500000GWD8TMAX"," ","MQL","2025-03-04","Webinar","2025-03-04T21:22:45.000+0000"
